# 天津市 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd5/index.m3u8
凤凰中文,rtp://239.11.0.132:1234
凤凰资讯,http://live.hunantv.com/live725/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv45/index.m3u8
梨园频道,http://live.hunantv.com/hdtv47/index.m3u8
文物宝库,rtp://239.11.0.77:8080
国学频道,rtp://239.49.1.114:1234
秦腔频道,rtp://239.254.97.67:8080
陕西秦腔,rtp://225.1.2.67:8000
甘肃秦腔,rtp://225.1.2.144:9901
宁夏秦腔,rtp://239.49.1.221:9901
中国广电4K,http://live.gdtv.cn/cctv8hd/index.m3u8
广电精品,rtp://239.49.1.243:9901
广电影视,rtp://239.49.1.92:9001
广电纪实,rtp://239.11.0.158:9901
广电体育,rtp://239.11.0.210:9000
广电新闻,rtp://239.254.97.152:9001
广电综艺,rtp://239.254.97.236:1234
广电少儿,rtp://225.1.2.134:9901
广电音乐,rtp://239.49.1.241:9901
广电戏曲,rtp://225.1.2.99:8000
广电科教,rtp://239.254.97.252:9901
广电购物,http://cctv1.live.cctv.cn/hd48/index.m3u8
IPTV经典电影,rtp://239.254.97.85:9001
IPTV热播剧场,rtp://225.1.2.243:9001
IPTV魅力时尚,rtp://225.1.2.98:9901
IPTV收视指南,rtp://225.1.2.246:8080
