# 青海省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 123
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd30/index.m3u8
湖北卫视,rtp://225.1.2.35:9901
江西卫视,rtp://239.254.96.130:8080
福建卫视,rtp://239.252.219.11:9901
四川卫视,rtp://239.254.96.126:8000
重庆卫视,rtp://239.252.219.241:1234
贵州卫视,rtp://239.252.219.163:8000
云南卫视,rtp://239.252.219.36:5140
广西卫视,rtp://239.252.219.4:9901
海南卫视,rtp://225.1.2.230:9001
山西卫视,rtp://239.254.96.35:9001
陕西卫视,rtp://225.1.2.212:9901
甘肃卫视,rtp://225.1.2.148:8000
青海卫视,http://cctv13.live.cctv.cn/live617/index.m3u8
宁夏卫视,rtp://239.254.96.137:1234
新疆卫视,rtp://239.254.96.176:9000
西藏卫视,rtp://239.254.96.169:9901
内蒙古卫视,rtp://239.254.96.204:5140
吉林卫视,rtp://225.1.2.143:9901
青海新闻,rtp://239.252.219.151:9901
青海都市,http://cctv1.live.cctv.cn/hdtv51/index.m3u8
青海影视,http://live.gdtv.cn/hd46/index.m3u8
青海生活,http://live.hunantv.com/live956/index.m3u8
青海经济,rtp://239.252.219.31:1234
青海科教,http://cctv1.live.cctv.cn/hdtv2/index.m3u8
青海体育,rtp://225.1.2.30:9901
青海公共,rtp://239.252.219.175:5140
CCTV1 4K,http://live.cctv.cn/cctv2hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live667/index.m3u8
北京纪实4K,http://live.hunantv.com/hdtv19/index.m3u8
上海纪实4K,http://live.hunantv.com/hd32/index.m3u8
广东4K,http://live.hunantv.com/hd35/index.m3u8
咪咕体育4K,http://live.cctv.cn/cctv13hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/cctv3hd/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live387/index.m3u8
爱上4K,http://live.hunantv.com/hd26/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hdtv6/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live187/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv20/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv48/index.m3u8
五星体育,rtp://239.252.219.179:8080
广东体育,rtp://239.254.96.147:9000
北京体育,rtp://239.252.219.199:1234
劲爆体育,rtp://239.254.96.139:8080
魅力足球,rtp://225.1.2.36:8000
CCTV6电影,http://live.cctv.cn/hdtv46/index.m3u8
上海电影,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
广东电影,rtp://239.254.96.78:9901
峨眉电影,rtp://239.254.96.187:1234
CHC高清电影,http://cctv1.live.cctv.cn/hd4/index.m3u8
CHC动作电影,rtp://225.1.2.12:9001
CHC家庭影院,rtp://239.254.96.241:9000
都市剧场,http://live.hunantv.com/hd17/index.m3u8
CCTV少儿,http://live.gdtv.cn/hd26/index.m3u8
金鹰卡通,rtp://239.252.219.233:8000
嘉佳卡通,rtp://239.252.219.189:9001
优漫卡通,rtp://239.254.96.148:8080
炫动卡通,rtp://239.254.96.48:9901
卡酷少儿,rtp://239.252.219.29:1234
CCTV新闻,http://live.cctv.cn/hd23/index.m3u8
CCTV13,http://live.hunantv.com/hdtv1/index.m3u8
中国教育1台,rtp://239.254.96.91:9001
中国教育2台,rtp://239.252.219.108:5140
凤凰中文,rtp://225.1.2.66:9000
凤凰资讯,rtp://239.254.96.105:9000
CCTV11戏曲,http://cctv13.live.cctv.cn/hd21/index.m3u8
梨园频道,rtp://225.1.2.136:5140
文物宝库,http://live.hunantv.com/live224/index.m3u8
国学频道,rtp://225.1.2.226:8080
秦腔频道,rtp://239.252.219.206:8000
陕西秦腔,rtp://225.1.2.148:9001
甘肃秦腔,http://live.gdtv.cn/cctv1hd/index.m3u8
宁夏秦腔,rtp://239.254.96.92:8000
青海秦腔,http://live.hunantv.com/live823/index.m3u8
西宁秦腔,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
海东秦腔,rtp://239.252.219.37:5140
中国广电4K,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
广电精品,http://live.hunantv.com/hdtv46/index.m3u8
广电影视,http://cctv1.live.cctv.cn/live713/index.m3u8
广电纪实,rtp://225.1.2.167:9901
广电体育,http://live.cctv.cn/hd3/index.m3u8
广电新闻,http://cctv1.live.cctv.cn/hd2/index.m3u8
广电综艺,rtp://225.1.2.204:9000
广电少儿,rtp://225.1.2.23:9001
广电音乐,rtp://239.254.96.158:9901
广电戏曲,rtp://225.1.2.74:9901
广电科教,rtp://239.252.219.49:8080
广电购物,rtp://239.252.219.226:9901
IPTV经典电影,http://live.gdtv.cn/live592/index.m3u8
IPTV热播剧场,http://live.cctv.cn/hd45/index.m3u8
IPTV魅力时尚,rtp://225.1.2.235:8080
IPTV收视指南,rtp://239.254.96.145:9901
