# 青海省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live192/index.m3u8
嘉佳卡通,rtp://225.1.2.3:5140
优漫卡通,rtp://239.252.219.239:9901
炫动卡通,rtp://239.254.96.239:9000
卡酷少儿,rtp://239.252.219.140:9001
CCTV新闻,http://live.cctv.cn/live369/index.m3u8
CCTV13,http://live.hunantv.com/hd39/index.m3u8
中国教育1台,http://live.hunantv.com/hdtv74/index.m3u8
中国教育2台,rtp://239.252.219.155:5140
凤凰中文,rtp://239.252.219.120:9901
凤凰资讯,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hdtv32/index.m3u8
梨园频道,rtp://239.252.219.95:9000
文物宝库,http://live.hunantv.com/hd39/index.m3u8
国学频道,rtp://239.252.219.185:9000
秦腔频道,http://live.gdtv.cn/hdtv2/index.m3u8
陕西秦腔,http://live.cctv.cn/cctv17hd/index.m3u8
甘肃秦腔,rtp://239.252.219.130:8000
宁夏秦腔,rtp://225.1.2.52:1234
青海秦腔,rtp://225.1.2.109:8080
西宁秦腔,rtp://225.1.2.216:9001
海东秦腔,rtp://239.252.219.131:9001
