# 山东省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live490/index.m3u8
山东新闻,http://live.cctv.cn/cctv2hd/index.m3u8
CCTV1 4K,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/hd28/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hd14/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd20/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hd46/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv48/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/live334/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv82/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd1/index.m3u8
五星体育,http://live.hunantv.com/hd44/index.m3u8
广东体育,rtp://239.253.93.106:8080
北京体育,rtp://239.21.0.192:9001
劲爆体育,rtp://239.253.93.55:8080
魅力足球,rtp://239.45.3.219:9001
CCTV6电影,http://live.hunantv.com/cctv6hd/index.m3u8
上海电影,rtp://239.253.93.125:8080
广东电影,rtp://239.21.0.30:9001
峨眉电影,rtp://239.253.93.44:5140
CHC高清电影,http://live.gdtv.cn/hd31/index.m3u8
CHC动作电影,http://cctv13.live.cctv.cn/hdtv35/index.m3u8
CHC家庭影院,rtp://239.45.3.35:1234
都市剧场,rtp://239.253.93.83:9001
CCTV少儿,http://cctv13.live.cctv.cn/hdtv23/index.m3u8
金鹰卡通,rtp://239.21.0.131:8080
嘉佳卡通,http://live.cctv.cn/live753/index.m3u8
优漫卡通,rtp://239.21.0.100:9000
炫动卡通,rtp://239.21.0.5:8080
卡酷少儿,rtp://239.45.3.134:8000
CCTV新闻,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV13,http://live.hunantv.com/hd23/index.m3u8
中国教育1台,http://cctv1.live.cctv.cn/live618/index.m3u8
中国教育2台,rtp://239.21.0.194:9001
凤凰中文,rtp://239.21.0.2:8000
凤凰资讯,rtp://239.253.93.74:9000
CCTV11戏曲,http://live.hunantv.com/cctv16hd/index.m3u8
梨园频道,rtp://239.253.93.143:1234
文物宝库,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
国学频道,rtp://239.21.0.45:8000
秦腔频道,rtp://239.45.3.24:9901
陕西秦腔,rtp://239.45.3.196:9000
甘肃秦腔,rtp://239.45.3.223:8000
宁夏秦腔,http://live.gdtv.cn/live712/index.m3u8
山东吕剧,rtp://239.21.0.155:9901
济南吕剧,http://live.hunantv.com/hd28/index.m3u8
青岛吕剧,rtp://239.45.3.215:8080
烟台吕剧,rtp://239.21.0.194:9901
