# 上海市 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live646/index.m3u8
金鹰卡通,rtp://239.112.207.170:9000
嘉佳卡通,rtp://239.112.207.216:9001
优漫卡通,rtp://239.254.99.238:8000
炫动卡通,http://live.cctv.cn/cctv13hd/index.m3u8
卡酷少儿,rtp://239.69.1.212:9001
CCTV新闻,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
CCTV13,http://live.hunantv.com/cctv2hd/index.m3u8
中国教育1台,rtp://239.254.99.121:8000
中国教育2台,rtp://239.69.1.135:8080
凤凰中文,http://cctv1.live.cctv.cn/live249/index.m3u8
凤凰资讯,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
梨园频道,rtp://239.254.99.2:9901
文物宝库,http://live.cctv.cn/live867/index.m3u8
国学频道,rtp://239.254.99.47:8000
秦腔频道,rtp://239.69.1.249:1234
陕西秦腔,rtp://239.69.1.78:1234
甘肃秦腔,http://live.cctv.cn/live388/index.m3u8
宁夏秦腔,rtp://239.69.1.98:9901
