# 吉林省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd6/index.m3u8
爱上4K,http://live.hunantv.com/hdtv62/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/live983/index.m3u8
CCTV5体育,http://live.hunantv.com/live633/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live133/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv30/index.m3u8
五星体育,http://live.gdtv.cn/live842/index.m3u8
广东体育,http://live.hunantv.com/live476/index.m3u8
北京体育,rtp://239.45.9.123:5140
劲爆体育,http://live.hunantv.com/hdtv38/index.m3u8
魅力足球,rtp://239.45.9.240:9000
CCTV6电影,http://live.gdtv.cn/hdtv10/index.m3u8
上海电影,rtp://239.45.9.100:8000
广东电影,rtp://239.22.0.61:1234
峨眉电影,rtp://239.22.0.78:1234
CHC高清电影,http://cctv1.live.cctv.cn/hd22/index.m3u8
CHC动作电影,http://live.cctv.cn/hd27/index.m3u8
CHC家庭影院,rtp://239.22.0.254:5140
都市剧场,http://cctv1.live.cctv.cn/hdtv25/index.m3u8
CCTV少儿,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
金鹰卡通,rtp://239.22.0.48:8080
嘉佳卡通,rtp://239.45.9.185:9001
优漫卡通,http://live.gdtv.cn/hd15/index.m3u8
炫动卡通,rtp://239.45.9.230:9000
卡酷少儿,rtp://239.253.92.113:8000
CCTV新闻,http://cctv13.live.cctv.cn/hdtv21/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hdtv65/index.m3u8
中国教育1台,rtp://239.22.0.84:1234
中国教育2台,rtp://239.22.0.207:5140
凤凰中文,rtp://239.253.92.86:9901
凤凰资讯,rtp://239.253.92.3:8080
CCTV11戏曲,http://live.hunantv.com/hd39/index.m3u8
梨园频道,rtp://239.45.9.125:9000
文物宝库,rtp://239.253.92.184:9000
国学频道,http://cctv1.live.cctv.cn/live667/index.m3u8
秦腔频道,rtp://239.22.0.77:9000
陕西秦腔,http://live.cctv.cn/hd11/index.m3u8
甘肃秦腔,rtp://239.22.0.227:9000
宁夏秦腔,rtp://239.45.9.112:9001
