# 甘肃省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hdtv80/index.m3u8
魅力足球,rtp://225.1.1.31:9901
CCTV6电影,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
上海电影,http://live.cctv.cn/live742/index.m3u8
广东电影,rtp://225.1.1.32:9000
峨眉电影,rtp://239.45.9.135:5140
CHC高清电影,http://live.gdtv.cn/live852/index.m3u8
CHC动作电影,rtp://225.1.1.108:9901
CHC家庭影院,rtp://225.1.1.22:8000
都市剧场,rtp://225.1.1.218:9000
CCTV少儿,http://live.hunantv.com/live675/index.m3u8
金鹰卡通,rtp://225.1.1.18:9000
嘉佳卡通,rtp://239.112.207.4:9001
优漫卡通,rtp://239.45.9.15:5140
炫动卡通,rtp://225.1.1.162:1234
卡酷少儿,rtp://225.1.1.11:9001
CCTV新闻,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hd13/index.m3u8
中国教育1台,http://cctv13.live.cctv.cn/hdtv91/index.m3u8
中国教育2台,rtp://225.1.1.67:5140
凤凰中文,rtp://225.1.1.166:9001
凤凰资讯,rtp://225.1.1.29:9000
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
梨园频道,rtp://239.45.9.31:9000
文物宝库,rtp://239.45.9.214:9901
国学频道,rtp://239.112.207.13:9001
秦腔频道,rtp://239.112.207.211:9000
陕西秦腔,rtp://239.112.207.83:8080
甘肃秦腔,rtp://225.1.1.123:9001
宁夏秦腔,rtp://225.1.1.147:8080
甘肃秦腔,rtp://239.112.207.180:9001
兰州秦腔,rtp://239.45.9.185:9001
天水秦腔,rtp://239.45.9.15:9000
平凉秦腔,rtp://225.1.1.210:9000
庆阳秦腔,rtp://239.45.9.19:9000
陇南秦腔,rtp://239.112.207.136:5140
定西秦腔,rtp://225.1.1.129:9001
