# 天津市 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv7hd/index.m3u8
西藏卫视,http://cctv13.live.cctv.cn/live955/index.m3u8
内蒙古卫视,rtp://239.11.0.28:9001
吉林卫视,rtp://239.49.1.114:1234
天津新闻,http://cctv13.live.cctv.cn/hd20/index.m3u8
天津都市,rtp://239.11.0.109:1234
天津影视,rtp://225.1.2.116:1234
天津生活,http://live.hunantv.com/hd49/index.m3u8
天津经济,rtp://239.49.1.222:1234
天津科教,http://live.cctv.cn/hd13/index.m3u8
天津体育,http://live.hunantv.com/live528/index.m3u8
天津公共,rtp://225.1.2.117:9901
CCTV1 4K,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/hdtv60/index.m3u8
北京纪实4K,http://live.hunantv.com/live213/index.m3u8
上海纪实4K,http://live.cctv.cn/cctv1hd/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd31/index.m3u8
咪咕体育4K,http://live.hunantv.com/hd17/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hdtv76/index.m3u8
纯享4K,http://live.cctv.cn/live598/index.m3u8
爱上4K,http://live.hunantv.com/hd45/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hd43/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv41/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv15hd/index.m3u8
五星体育,rtp://239.254.97.243:9901
广东体育,rtp://225.1.2.18:9001
北京体育,rtp://225.1.2.11:8000
劲爆体育,rtp://239.254.97.9:5140
魅力足球,rtp://225.1.2.207:1234
CCTV6电影,http://cctv13.live.cctv.cn/live781/index.m3u8
上海电影,rtp://239.254.97.181:9001
广东电影,rtp://239.11.0.14:9001
峨眉电影,rtp://239.254.97.70:1234
CHC高清电影,http://live.cctv.cn/hd10/index.m3u8
CHC动作电影,http://live.gdtv.cn/live363/index.m3u8
CHC家庭影院,rtp://239.49.1.6:9001
都市剧场,rtp://239.11.0.201:9901
CCTV少儿,http://cctv1.live.cctv.cn/hd19/index.m3u8
金鹰卡通,rtp://239.254.97.40:9901
嘉佳卡通,rtp://239.11.0.72:9001
优漫卡通,http://live.hunantv.com/hdtv86/index.m3u8
炫动卡通,rtp://239.49.1.230:9000
卡酷少儿,http://live.hunantv.com/hd10/index.m3u8
CCTV新闻,http://cctv13.live.cctv.cn/hd31/index.m3u8
CCTV13,http://live.hunantv.com/hdtv88/index.m3u8
中国教育1台,rtp://239.49.1.207:8000
中国教育2台,rtp://239.49.1.215:1234
凤凰中文,rtp://239.49.1.119:1234
凤凰资讯,http://cctv13.live.cctv.cn/live500/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/cctv14hd/index.m3u8
梨园频道,rtp://239.11.0.240:9000
文物宝库,rtp://239.11.0.224:8000
国学频道,rtp://225.1.2.37:8000
秦腔频道,rtp://239.254.97.130:9901
陕西秦腔,rtp://225.1.2.50:9901
甘肃秦腔,rtp://225.1.2.6:9901
宁夏秦腔,rtp://239.49.1.3:9000
