# 重庆市 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv38/index.m3u8
重庆体育,rtp://239.253.43.66:9000
重庆公共,rtp://225.1.8.221:9001
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv88/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv20/index.m3u8
北京纪实4K,http://live.cctv.cn/cctv6hd/index.m3u8
上海纪实4K,http://live.cctv.cn/live952/index.m3u8
广东4K,http://live.cctv.cn/cctv16hd/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/live159/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv70/index.m3u8
纯享4K,http://live.gdtv.cn/hd5/index.m3u8
爱上4K,http://live.gdtv.cn/cctv1hd/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live301/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv37/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live485/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv81/index.m3u8
五星体育,rtp://239.253.43.32:8000
广东体育,rtp://225.1.8.148:1234
北京体育,rtp://239.11.0.238:9000
劲爆体育,rtp://239.253.43.16:8080
魅力足球,rtp://225.1.8.93:9000
CCTV6电影,http://cctv13.live.cctv.cn/hdtv30/index.m3u8
上海电影,rtp://239.253.43.160:9001
广东电影,rtp://239.11.0.36:5140
峨眉电影,rtp://225.1.8.8:9901
CHC高清电影,http://live.gdtv.cn/live373/index.m3u8
CHC动作电影,rtp://225.1.8.30:5140
CHC家庭影院,rtp://239.11.0.50:9001
都市剧场,rtp://225.1.8.164:9000
CCTV少儿,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
金鹰卡通,rtp://239.253.43.248:9901
嘉佳卡通,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
优漫卡通,rtp://225.1.8.230:8000
炫动卡通,rtp://239.253.43.55:9901
卡酷少儿,rtp://239.253.43.124:9001
CCTV新闻,http://live.gdtv.cn/live155/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv47/index.m3u8
中国教育1台,rtp://225.1.8.80:9000
中国教育2台,http://cctv1.live.cctv.cn/hdtv65/index.m3u8
凤凰中文,rtp://239.11.0.37:8080
凤凰资讯,rtp://239.11.0.111:9901
CCTV11戏曲,http://live.cctv.cn/live285/index.m3u8
梨园频道,http://live.cctv.cn/hdtv94/index.m3u8
文物宝库,rtp://225.1.8.100:8000
国学频道,rtp://239.253.43.32:1234
秦腔频道,rtp://239.253.43.244:8000
陕西秦腔,http://cctv13.live.cctv.cn/hd37/index.m3u8
甘肃秦腔,rtp://225.1.8.89:9901
宁夏秦腔,rtp://239.11.0.253:9901
