# 宁夏回族自治区 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 110
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live460/index.m3u8
宁夏都市,rtp://239.252.220.36:9001
宁夏影视,rtp://225.1.4.18:9001
宁夏生活,rtp://225.1.4.1:1234
宁夏经济,http://live.cctv.cn/live159/index.m3u8
宁夏科教,rtp://225.1.4.16:8000
宁夏体育,rtp://239.252.220.126:9901
宁夏公共,rtp://239.254.97.229:9901
CCTV1 4K,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV4K,http://live.hunantv.com/cctv9hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv77/index.m3u8
上海纪实4K,http://live.hunantv.com/live898/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hdtv89/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv60/index.m3u8
纯享4K,http://live.cctv.cn/hd5/index.m3u8
爱上4K,http://live.hunantv.com/cctv1hd/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv15/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv64/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
五星体育,rtp://225.1.4.97:5140
广东体育,rtp://239.254.97.175:5140
北京体育,rtp://239.254.97.31:9001
劲爆体育,rtp://239.254.97.48:8080
魅力足球,rtp://225.1.4.46:8080
CCTV6电影,http://live.hunantv.com/hdtv36/index.m3u8
上海电影,rtp://239.254.97.54:1234
广东电影,http://live.cctv.cn/live726/index.m3u8
峨眉电影,rtp://239.252.220.55:8080
CHC高清电影,http://cctv13.live.cctv.cn/hd47/index.m3u8
CHC动作电影,rtp://239.252.220.163:9901
CHC家庭影院,rtp://225.1.4.106:8000
都市剧场,rtp://225.1.4.135:9901
CCTV少儿,http://cctv1.live.cctv.cn/hd24/index.m3u8
金鹰卡通,rtp://239.252.220.151:9000
嘉佳卡通,rtp://239.252.220.109:9901
优漫卡通,rtp://225.1.4.228:9001
炫动卡通,rtp://225.1.4.238:9000
卡酷少儿,rtp://239.254.97.103:9000
CCTV新闻,http://cctv13.live.cctv.cn/live726/index.m3u8
CCTV13,http://live.gdtv.cn/hd45/index.m3u8
中国教育1台,rtp://225.1.4.91:9001
中国教育2台,rtp://239.252.220.231:9001
凤凰中文,rtp://239.254.97.51:9000
凤凰资讯,rtp://239.252.220.95:9001
CCTV11戏曲,http://live.hunantv.com/live146/index.m3u8
梨园频道,rtp://239.254.97.91:8000
文物宝库,rtp://225.1.4.81:9000
国学频道,rtp://239.254.97.109:9000
秦腔频道,rtp://239.252.220.72:5140
陕西秦腔,rtp://239.254.97.129:9001
甘肃秦腔,rtp://239.254.97.95:9901
宁夏秦腔,rtp://225.1.4.136:5140
宁夏秦腔,rtp://239.252.220.220:5140
银川秦腔,rtp://225.1.4.251:9000
石嘴山秦腔,rtp://239.254.97.61:8000
吴忠秦腔,rtp://225.1.4.59:1234
固原秦腔,rtp://239.254.97.102:9901
中卫秦腔,rtp://225.1.4.83:9001
