# 山东省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd37/index.m3u8
炫动卡通,rtp://239.21.0.17:1234
卡酷少儿,rtp://239.21.0.246:8000
CCTV新闻,http://cctv1.live.cctv.cn/live404/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv55/index.m3u8
中国教育1台,rtp://239.21.0.30:1234
中国教育2台,rtp://239.21.0.114:9001
凤凰中文,http://live.hunantv.com/live679/index.m3u8
凤凰资讯,rtp://239.21.0.73:9001
CCTV11戏曲,http://cctv13.live.cctv.cn/hd18/index.m3u8
梨园频道,http://live.hunantv.com/hd42/index.m3u8
文物宝库,rtp://239.253.93.184:5140
国学频道,rtp://239.21.0.95:9901
秦腔频道,rtp://239.45.3.133:5140
陕西秦腔,rtp://239.253.93.224:9901
甘肃秦腔,http://live.hunantv.com/hd45/index.m3u8
宁夏秦腔,rtp://239.253.93.140:9000
山东吕剧,rtp://239.45.3.87:9000
济南吕剧,rtp://239.45.3.105:9001
青岛吕剧,rtp://239.45.3.158:8080
烟台吕剧,rtp://239.45.3.179:5140
