# 浙江省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv3hd/index.m3u8
吉林卫视,rtp://225.1.2.56:9901
浙江新闻,rtp://239.11.0.211:9001
浙江都市,rtp://239.11.0.64:8080
浙江影视,rtp://239.112.206.87:9001
浙江生活,rtp://239.112.206.79:9000
浙江经济,rtp://239.112.206.67:9901
浙江科教,rtp://239.112.206.34:8000
浙江体育,http://live.gdtv.cn/hd6/index.m3u8
浙江公共,rtp://225.1.2.17:5140
浙江卫视,http://live.gdtv.cn/live789/index.m3u8
浙江钱江,rtp://225.1.2.218:8000
浙江经济,rtp://239.112.206.219:9000
浙江教科,rtp://225.1.2.110:9901
浙江影视,http://live.gdtv.cn/live457/index.m3u8
浙江民生,rtp://239.11.0.192:9001
浙江新闻,rtp://239.11.0.112:9000
CCTV1 4K,http://cctv13.live.cctv.cn/hd50/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
北京纪实4K,http://live.hunantv.com/cctv15hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/live784/index.m3u8
广东4K,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
咪咕体育4K,http://live.gdtv.cn/cctv9hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/cctv5hd/index.m3u8
纯享4K,http://live.hunantv.com/hdtv48/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hd44/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hd29/index.m3u8
CCTV5体育,http://live.hunantv.com/live234/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/live602/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv10hd/index.m3u8
五星体育,rtp://239.11.0.126:9000
广东体育,rtp://239.112.206.38:9001
北京体育,http://live.hunantv.com/live983/index.m3u8
劲爆体育,rtp://225.1.2.250:1234
魅力足球,rtp://225.1.2.13:5140
CCTV6电影,http://cctv1.live.cctv.cn/live591/index.m3u8
上海电影,rtp://239.112.206.159:9000
广东电影,rtp://239.112.206.60:9000
峨眉电影,rtp://225.1.2.193:8080
CHC高清电影,http://live.gdtv.cn/live834/index.m3u8
CHC动作电影,rtp://225.1.2.134:1234
CHC家庭影院,rtp://239.112.206.78:1234
都市剧场,rtp://225.1.2.169:9901
CCTV少儿,http://live.gdtv.cn/live132/index.m3u8
金鹰卡通,rtp://239.11.0.249:9000
嘉佳卡通,rtp://225.1.2.148:1234
优漫卡通,rtp://239.112.206.3:9000
炫动卡通,rtp://239.11.0.66:1234
卡酷少儿,rtp://239.112.206.251:9901
CCTV新闻,http://live.hunantv.com/hdtv16/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
中国教育1台,rtp://225.1.2.139:8080
中国教育2台,rtp://239.112.206.28:9000
凤凰中文,rtp://239.112.206.53:9901
凤凰资讯,rtp://225.1.2.211:1234
CCTV11戏曲,http://live.cctv.cn/cctv12hd/index.m3u8
梨园频道,rtp://239.11.0.141:9000
文物宝库,http://live.hunantv.com/hdtv91/index.m3u8
国学频道,rtp://239.11.0.69:9901
秦腔频道,rtp://239.112.206.169:9000
陕西秦腔,rtp://239.112.206.46:8000
甘肃秦腔,rtp://239.112.206.194:9000
宁夏秦腔,rtp://239.112.206.173:1234
浙江越剧,rtp://225.1.2.55:9001
杭州越剧,rtp://239.112.206.218:8080
绍兴越剧,rtp://225.1.2.176:5140
宁波越剧,rtp://239.11.0.87:1234
