# 江西省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd29/index.m3u8
江西影视,rtp://239.45.1.1:9901
江西生活,rtp://239.20.0.138:1234
江西经济,rtp://239.253.92.95:9901
江西科教,rtp://239.253.92.187:9901
江西体育,http://cctv1.live.cctv.cn/hd27/index.m3u8
江西公共,rtp://239.20.0.206:5140
CCTV1 4K,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live547/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hdtv66/index.m3u8
上海纪实4K,http://live.gdtv.cn/hd46/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hdtv92/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/live649/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/live785/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hd39/index.m3u8
爱上4K,http://live.hunantv.com/cctv11hd/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hd27/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv57/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd7/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv62/index.m3u8
五星体育,http://cctv13.live.cctv.cn/hd12/index.m3u8
广东体育,rtp://239.20.0.49:9901
北京体育,rtp://239.253.92.2:9901
劲爆体育,rtp://239.20.0.182:5140
魅力足球,rtp://239.20.0.187:8080
CCTV6电影,http://cctv1.live.cctv.cn/live646/index.m3u8
上海电影,rtp://239.20.0.170:8000
广东电影,rtp://239.45.1.34:9000
峨眉电影,rtp://239.45.1.190:9001
CHC高清电影,http://live.cctv.cn/cctv9hd/index.m3u8
CHC动作电影,rtp://239.253.92.182:8000
CHC家庭影院,http://live.gdtv.cn/live165/index.m3u8
都市剧场,rtp://239.45.1.218:8080
CCTV少儿,http://cctv13.live.cctv.cn/hd48/index.m3u8
金鹰卡通,rtp://239.45.1.105:9000
嘉佳卡通,rtp://239.253.92.59:8000
优漫卡通,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
炫动卡通,rtp://239.20.0.203:8000
卡酷少儿,rtp://239.45.1.202:9001
CCTV新闻,http://cctv13.live.cctv.cn/live936/index.m3u8
CCTV13,http://live.hunantv.com/cctv3hd/index.m3u8
中国教育1台,rtp://239.45.1.160:8080
中国教育2台,rtp://239.20.0.109:9000
凤凰中文,http://live.hunantv.com/cctv9hd/index.m3u8
凤凰资讯,rtp://239.20.0.84:9901
CCTV11戏曲,http://live.cctv.cn/hdtv21/index.m3u8
梨园频道,rtp://239.20.0.192:9001
文物宝库,rtp://239.20.0.188:1234
国学频道,rtp://239.253.92.91:9901
秦腔频道,http://live.cctv.cn/hd22/index.m3u8
陕西秦腔,http://cctv1.live.cctv.cn/hd19/index.m3u8
甘肃秦腔,rtp://239.253.92.30:8000
宁夏秦腔,rtp://239.253.92.150:8080
