# 湖南省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv59/index.m3u8
宁夏卫视,rtp://239.112.206.16:1234
新疆卫视,rtp://239.112.206.100:1234
西藏卫视,http://live.hunantv.com/cctv14hd/index.m3u8
内蒙古卫视,rtp://239.112.206.93:9901
吉林卫视,rtp://239.254.97.228:9901
湖南新闻,rtp://239.254.97.139:9000
湖南都市,rtp://239.112.206.163:9000
湖南影视,rtp://239.254.97.243:1234
湖南生活,rtp://239.112.207.18:5140
湖南经济,rtp://239.254.97.126:1234
湖南科教,http://live.hunantv.com/cctv6hd/index.m3u8
湖南体育,rtp://239.254.97.152:9000
湖南公共,rtp://239.112.207.167:8080
湖南卫视,http://live.gdtv.cn/hdtv28/index.m3u8
湖南经视,rtp://239.254.97.202:9000
湖南都市,http://live.cctv.cn/hd19/index.m3u8
湖南娱乐,rtp://239.254.97.58:5140
湖南电影,rtp://239.112.207.160:9000
金鹰纪实,rtp://239.254.97.35:9001
金鹰卡通,rtp://239.112.206.45:8080
CCTV1 4K,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV4K,http://live.hunantv.com/cctv16hd/index.m3u8
北京纪实4K,http://live.cctv.cn/live373/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/live139/index.m3u8
广东4K,http://live.hunantv.com/hd35/index.m3u8
咪咕体育4K,http://live.cctv.cn/hd37/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd4/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/live600/index.m3u8
爱上4K,http://live.hunantv.com/live376/index.m3u8
欢笑剧场4K,http://live.hunantv.com/live108/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv7hd/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd24/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv71/index.m3u8
五星体育,rtp://239.112.206.91:5140
广东体育,rtp://239.254.97.164:5140
北京体育,rtp://239.112.206.134:1234
劲爆体育,rtp://239.254.97.75:9000
魅力足球,rtp://239.112.206.233:9001
CCTV6电影,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
上海电影,http://live.cctv.cn/hdtv72/index.m3u8
广东电影,rtp://239.112.207.106:8000
峨眉电影,rtp://239.254.97.53:8000
CHC高清电影,http://cctv1.live.cctv.cn/hd22/index.m3u8
CHC动作电影,rtp://239.112.206.253:5140
CHC家庭影院,rtp://239.112.206.63:1234
都市剧场,http://cctv1.live.cctv.cn/hdtv30/index.m3u8
CCTV少儿,http://live.gdtv.cn/cctv4hd/index.m3u8
金鹰卡通,rtp://239.112.206.168:9901
嘉佳卡通,rtp://239.112.206.192:9000
优漫卡通,rtp://239.254.97.111:8000
炫动卡通,http://live.gdtv.cn/hd41/index.m3u8
卡酷少儿,rtp://239.112.207.43:9001
CCTV新闻,http://live.gdtv.cn/live705/index.m3u8
CCTV13,http://live.hunantv.com/hdtv67/index.m3u8
中国教育1台,rtp://239.254.97.67:1234
中国教育2台,rtp://239.112.206.251:1234
凤凰中文,rtp://239.254.97.131:8000
凤凰资讯,http://live.cctv.cn/hd2/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/live124/index.m3u8
梨园频道,rtp://239.112.207.170:1234
文物宝库,rtp://239.112.206.226:1234
国学频道,rtp://239.112.206.130:8000
秦腔频道,rtp://239.112.206.180:9000
陕西秦腔,rtp://239.112.206.14:8080
甘肃秦腔,rtp://239.254.97.244:8080
宁夏秦腔,rtp://239.254.97.202:5140
湖南湘剧,rtp://239.112.206.177:9901
长沙湘剧,rtp://239.112.206.74:1234
株洲湘剧,rtp://239.112.206.215:1234
湘潭湘剧,rtp://239.112.207.36:9000
