# 上海市 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live712/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
爱上4K,http://live.hunantv.com/cctv15hd/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hd16/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd19/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hdtv40/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
五星体育,rtp://239.112.207.192:9000
广东体育,rtp://239.112.207.5:8000
北京体育,rtp://239.254.99.120:9901
劲爆体育,rtp://239.112.207.206:8000
魅力足球,rtp://239.69.1.176:9001
CCTV6电影,http://cctv1.live.cctv.cn/hdtv85/index.m3u8
上海电影,rtp://239.112.207.224:5140
广东电影,http://live.cctv.cn/cctv11hd/index.m3u8
峨眉电影,rtp://239.112.207.15:5140
CHC高清电影,http://live.gdtv.cn/hdtv87/index.m3u8
CHC动作电影,rtp://239.254.99.194:8080
CHC家庭影院,rtp://239.112.207.2:9000
都市剧场,rtp://239.254.99.126:9001
CCTV少儿,http://cctv13.live.cctv.cn/hd20/index.m3u8
金鹰卡通,rtp://239.112.207.224:9001
嘉佳卡通,http://live.hunantv.com/hd1/index.m3u8
优漫卡通,rtp://239.112.207.207:5140
炫动卡通,rtp://239.69.1.140:5140
卡酷少儿,rtp://239.112.207.75:8080
CCTV新闻,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV13,http://live.cctv.cn/cctv8hd/index.m3u8
中国教育1台,rtp://239.112.207.236:9901
中国教育2台,rtp://239.69.1.28:8080
凤凰中文,rtp://239.254.99.134:8000
凤凰资讯,rtp://239.112.207.160:1234
CCTV11戏曲,http://live.gdtv.cn/hdtv6/index.m3u8
梨园频道,rtp://239.254.99.210:9901
文物宝库,rtp://239.69.1.218:8000
国学频道,rtp://239.69.1.46:9000
秦腔频道,rtp://239.112.207.27:8000
陕西秦腔,http://live.hunantv.com/cctv8hd/index.m3u8
甘肃秦腔,rtp://239.254.99.80:1234
宁夏秦腔,rtp://239.254.99.48:9000
