# 台湾省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd12/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv9/index.m3u8
上海电影,http://live.hunantv.com/hd11/index.m3u8
广东电影,rtp://239.254.99.152:9001
峨眉电影,rtp://239.254.99.50:9001
CHC高清电影,http://live.cctv.cn/hd30/index.m3u8
CHC动作电影,rtp://239.20.0.230:5140
CHC家庭影院,http://live.cctv.cn/hd50/index.m3u8
都市剧场,rtp://239.253.92.43:9901
CCTV少儿,http://cctv13.live.cctv.cn/hdtv56/index.m3u8
金鹰卡通,http://live.hunantv.com/cctv11hd/index.m3u8
嘉佳卡通,rtp://239.20.0.1:9001
优漫卡通,rtp://239.253.92.175:9001
炫动卡通,rtp://239.254.99.132:9001
卡酷少儿,rtp://239.253.92.51:8000
CCTV新闻,http://live.gdtv.cn/hdtv57/index.m3u8
CCTV13,http://live.cctv.cn/cctv2hd/index.m3u8
中国教育1台,rtp://239.254.99.231:9000
中国教育2台,rtp://239.253.92.160:8000
凤凰中文,rtp://239.253.92.164:5140
凤凰资讯,http://cctv1.live.cctv.cn/live232/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
梨园频道,rtp://239.20.0.6:8080
文物宝库,rtp://239.254.99.223:8080
国学频道,rtp://239.254.99.64:9901
秦腔频道,http://live.gdtv.cn/hdtv15/index.m3u8
陕西秦腔,http://live.gdtv.cn/hd34/index.m3u8
甘肃秦腔,rtp://239.253.92.45:5140
宁夏秦腔,rtp://239.20.0.32:9000
