# 四川省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv16hd/index.m3u8
四川卫视,rtp://239.20.0.172:9901
重庆卫视,rtp://239.77.0.217:9000
贵州卫视,http://live.cctv.cn/live488/index.m3u8
云南卫视,rtp://239.77.0.69:8080
广西卫视,rtp://239.253.92.132:8000
海南卫视,http://cctv1.live.cctv.cn/hd24/index.m3u8
山西卫视,rtp://239.20.0.31:8080
陕西卫视,rtp://239.77.0.10:9001
甘肃卫视,rtp://239.253.92.196:9901
青海卫视,rtp://239.77.0.80:5140
宁夏卫视,rtp://239.253.92.48:9001
新疆卫视,rtp://239.253.92.184:1234
西藏卫视,rtp://239.77.0.85:9000
内蒙古卫视,rtp://239.77.0.1:8080
吉林卫视,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
四川新闻,rtp://239.20.0.253:8080
四川都市,rtp://239.77.0.143:9001
四川影视,http://live.cctv.cn/live152/index.m3u8
四川生活,rtp://239.253.92.137:8080
四川经济,rtp://239.253.92.23:8000
四川科教,rtp://239.253.92.167:1234
四川体育,rtp://239.20.0.130:9001
四川公共,rtp://239.20.0.54:9000
四川卫视,rtp://239.77.0.6:8080
四川新闻,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
四川经济,rtp://239.77.0.56:1234
四川影视,http://live.hunantv.com/live905/index.m3u8
四川文化,http://live.cctv.cn/hd14/index.m3u8
四川公共,rtp://239.77.0.187:5140
康巴卫视,rtp://239.20.0.37:9000
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv75/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
北京纪实4K,http://live.hunantv.com/live366/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv10hd/index.m3u8
广东4K,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
咪咕体育4K,http://live.cctv.cn/hdtv4/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv41/index.m3u8
纯享4K,http://live.hunantv.com/hdtv65/index.m3u8
爱上4K,http://live.gdtv.cn/hd24/index.m3u8
欢笑剧场4K,http://live.cctv.cn/live249/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live535/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd14/index.m3u8
五星体育,rtp://239.253.92.8:8000
广东体育,rtp://239.77.0.141:5140
北京体育,http://live.gdtv.cn/hd6/index.m3u8
劲爆体育,rtp://239.20.0.103:1234
魅力足球,rtp://239.20.0.131:9001
CCTV6电影,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
上海电影,rtp://239.20.0.71:5140
广东电影,rtp://239.20.0.1:5140
峨眉电影,rtp://239.253.92.133:9901
CHC高清电影,http://live.cctv.cn/hd12/index.m3u8
CHC动作电影,rtp://239.20.0.196:1234
CHC家庭影院,rtp://239.253.92.210:9001
都市剧场,rtp://239.20.0.116:9000
CCTV少儿,http://live.hunantv.com/cctv10hd/index.m3u8
金鹰卡通,rtp://239.253.92.206:9001
嘉佳卡通,rtp://239.20.0.78:9901
优漫卡通,rtp://239.77.0.19:1234
炫动卡通,rtp://239.253.92.244:8080
卡酷少儿,rtp://239.20.0.106:5140
CCTV新闻,http://cctv1.live.cctv.cn/hdtv98/index.m3u8
CCTV13,http://live.cctv.cn/live710/index.m3u8
中国教育1台,rtp://239.20.0.121:9001
中国教育2台,rtp://239.253.92.193:9001
凤凰中文,rtp://239.20.0.184:9001
凤凰资讯,rtp://239.253.92.54:8000
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
梨园频道,rtp://239.253.92.145:9000
文物宝库,http://cctv13.live.cctv.cn/hdtv50/index.m3u8
国学频道,http://live.gdtv.cn/hd22/index.m3u8
秦腔频道,http://live.gdtv.cn/cctv13hd/index.m3u8
陕西秦腔,rtp://239.253.92.76:1234
甘肃秦腔,http://cctv1.live.cctv.cn/hd31/index.m3u8
宁夏秦腔,rtp://239.253.92.18:8080
四川川剧,rtp://239.77.0.180:8080
成都川剧,rtp://239.77.0.159:8080
重庆川剧,rtp://239.20.0.176:1234
自贡川剧,rtp://239.20.0.115:5140
中国广电4K,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
广电精品,http://live.cctv.cn/hdtv82/index.m3u8
广电影视,rtp://239.253.92.227:9001
广电纪实,rtp://239.253.92.204:9001
广电体育,rtp://239.253.92.176:8000
广电新闻,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
广电综艺,http://live.hunantv.com/hd7/index.m3u8
广电少儿,rtp://239.20.0.113:9901
广电音乐,rtp://239.253.92.41:5140
广电戏曲,rtp://239.253.92.41:1234
广电科教,rtp://239.77.0.187:8000
广电购物,http://cctv1.live.cctv.cn/live748/index.m3u8
IPTV经典电影,rtp://239.20.0.52:5140
IPTV热播剧场,rtp://239.253.92.222:8000
IPTV魅力时尚,rtp://239.253.92.65:9901
IPTV收视指南,rtp://239.20.0.55:8080
