# 陕西省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv9hd/index.m3u8
贵州卫视,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
云南卫视,rtp://239.45.3.200:8080
广西卫视,rtp://239.45.3.42:8000
海南卫视,rtp://239.112.207.103:9000
山西卫视,rtp://239.45.3.16:8000
陕西卫视,rtp://239.112.207.238:9001
甘肃卫视,http://live.gdtv.cn/cctv7hd/index.m3u8
青海卫视,rtp://239.45.3.217:8080
宁夏卫视,rtp://239.112.206.23:8000
新疆卫视,http://cctv13.live.cctv.cn/hd31/index.m3u8
西藏卫视,rtp://239.45.3.19:9000
内蒙古卫视,rtp://239.45.3.23:9901
吉林卫视,http://live.cctv.cn/live586/index.m3u8
陕西新闻,rtp://239.45.3.234:5140
陕西都市,http://cctv1.live.cctv.cn/hd29/index.m3u8
陕西影视,rtp://239.45.3.181:1234
陕西生活,http://live.cctv.cn/hd15/index.m3u8
陕西经济,http://cctv13.live.cctv.cn/hd33/index.m3u8
陕西科教,http://live.cctv.cn/hd28/index.m3u8
陕西体育,rtp://239.112.207.220:8000
陕西公共,rtp://239.112.206.131:5140
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv76/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv78/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/live805/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hdtv72/index.m3u8
广东4K,http://live.gdtv.cn/live752/index.m3u8
咪咕体育4K,http://live.hunantv.com/cctv8hd/index.m3u8
咪咕直播4K,http://live.cctv.cn/live860/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live393/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hdtv4/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv29/index.m3u8
CCTV5体育,http://live.cctv.cn/live786/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hd8/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hd44/index.m3u8
五星体育,rtp://239.112.206.229:9001
广东体育,rtp://239.112.207.65:9000
北京体育,rtp://239.112.207.69:9001
劲爆体育,rtp://239.45.3.220:1234
魅力足球,http://live.hunantv.com/live558/index.m3u8
CCTV6电影,http://live.gdtv.cn/cctv11hd/index.m3u8
上海电影,rtp://239.45.3.207:8080
广东电影,rtp://239.112.206.41:9901
峨眉电影,http://cctv1.live.cctv.cn/live995/index.m3u8
CHC高清电影,http://cctv13.live.cctv.cn/hdtv98/index.m3u8
CHC动作电影,rtp://239.112.206.71:8080
CHC家庭影院,rtp://239.112.207.204:9901
都市剧场,rtp://239.112.206.235:5140
CCTV少儿,http://live.gdtv.cn/hdtv79/index.m3u8
金鹰卡通,rtp://239.112.206.231:9001
嘉佳卡通,rtp://239.45.3.9:9000
优漫卡通,rtp://239.112.206.157:9000
炫动卡通,rtp://239.45.3.116:5140
卡酷少儿,rtp://239.112.207.66:1234
CCTV新闻,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live651/index.m3u8
中国教育1台,rtp://239.112.206.99:1234
中国教育2台,http://live.cctv.cn/cctv17hd/index.m3u8
凤凰中文,rtp://239.45.3.22:9001
凤凰资讯,rtp://239.45.3.97:9001
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
梨园频道,rtp://239.45.3.24:5140
文物宝库,rtp://239.112.207.188:5140
国学频道,rtp://239.45.3.130:1234
秦腔频道,rtp://239.112.207.113:8080
陕西秦腔,rtp://239.112.206.234:8080
甘肃秦腔,rtp://239.112.207.74:8080
宁夏秦腔,rtp://239.45.3.33:9901
陕西秦腔,rtp://239.112.207.110:9000
西安秦腔,rtp://239.112.207.4:9001
宝鸡秦腔,rtp://239.112.206.32:9901
咸阳秦腔,rtp://239.112.207.144:8080
渭南秦腔,rtp://239.45.3.192:1234
汉中秦腔,rtp://239.112.206.222:5140
安康秦腔,rtp://239.45.3.102:8000
商洛秦腔,http://live.gdtv.cn/hdtv82/index.m3u8
