# 内蒙古自治区 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv31/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv98/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv2/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv85/index.m3u8
五星体育,rtp://239.20.0.227:8080
广东体育,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
北京体育,rtp://239.252.219.65:5140
劲爆体育,rtp://239.61.0.21:9000
魅力足球,rtp://239.77.0.204:9000
CCTV6电影,http://live.hunantv.com/hd30/index.m3u8
上海电影,rtp://239.20.0.97:9001
广东电影,rtp://239.252.219.189:1234
峨眉电影,rtp://239.61.0.187:9901
CHC高清电影,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CHC动作电影,rtp://239.20.0.3:9000
CHC家庭影院,rtp://239.77.0.9:5140
都市剧场,rtp://239.77.0.103:8000
CCTV少儿,http://live.gdtv.cn/live199/index.m3u8
金鹰卡通,rtp://239.252.219.205:9000
嘉佳卡通,rtp://239.252.219.209:8080
优漫卡通,http://live.hunantv.com/hd4/index.m3u8
炫动卡通,rtp://239.20.0.46:1234
卡酷少儿,rtp://239.77.0.140:9001
CCTV新闻,http://live.gdtv.cn/live837/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv70/index.m3u8
中国教育1台,rtp://239.77.0.38:5140
中国教育2台,rtp://239.77.0.144:9901
凤凰中文,rtp://239.61.0.116:5140
凤凰资讯,rtp://239.20.0.45:5140
CCTV11戏曲,http://live.cctv.cn/cctv6hd/index.m3u8
梨园频道,http://live.cctv.cn/hdtv92/index.m3u8
文物宝库,rtp://239.20.0.72:1234
国学频道,rtp://239.77.0.205:9000
秦腔频道,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
陕西秦腔,rtp://239.252.219.31:8000
甘肃秦腔,http://cctv13.live.cctv.cn/hd15/index.m3u8
宁夏秦腔,http://cctv1.live.cctv.cn/hd13/index.m3u8
