# 浙江省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live679/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live314/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/live334/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live300/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd17/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd40/index.m3u8
五星体育,http://cctv13.live.cctv.cn/live543/index.m3u8
广东体育,rtp://225.1.2.57:1234
北京体育,rtp://225.1.2.67:8000
劲爆体育,rtp://239.112.206.97:8000
魅力足球,rtp://239.112.206.205:9000
CCTV6电影,http://live.gdtv.cn/hd3/index.m3u8
上海电影,rtp://239.11.0.37:9000
广东电影,http://cctv13.live.cctv.cn/live830/index.m3u8
峨眉电影,rtp://239.11.0.16:1234
CHC高清电影,http://live.gdtv.cn/live155/index.m3u8
CHC动作电影,rtp://239.112.206.155:1234
CHC家庭影院,rtp://239.112.206.9:5140
都市剧场,rtp://225.1.2.104:1234
CCTV少儿,http://live.cctv.cn/live935/index.m3u8
金鹰卡通,http://cctv1.live.cctv.cn/live636/index.m3u8
嘉佳卡通,rtp://225.1.2.98:5140
优漫卡通,rtp://239.11.0.36:8000
炫动卡通,http://live.cctv.cn/live180/index.m3u8
卡酷少儿,rtp://225.1.2.7:9901
CCTV新闻,http://live.hunantv.com/live102/index.m3u8
CCTV13,http://live.hunantv.com/live384/index.m3u8
中国教育1台,rtp://239.112.206.101:9000
中国教育2台,rtp://225.1.2.233:5140
凤凰中文,rtp://225.1.2.208:9901
凤凰资讯,rtp://239.112.206.216:9000
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv55/index.m3u8
梨园频道,rtp://239.11.0.244:9901
文物宝库,rtp://239.112.206.20:9001
国学频道,rtp://239.112.206.216:5140
秦腔频道,rtp://225.1.2.63:9000
陕西秦腔,rtp://239.112.206.133:9001
甘肃秦腔,rtp://239.112.206.176:1234
宁夏秦腔,rtp://225.1.2.152:9901
浙江越剧,rtp://239.11.0.112:1234
杭州越剧,http://live.gdtv.cn/live451/index.m3u8
绍兴越剧,rtp://239.11.0.68:5140
宁波越剧,rtp://239.11.0.222:9000
