# 四川省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd43/index.m3u8
四川新闻,rtp://239.20.0.192:9000
四川经济,rtp://239.253.92.43:8000
四川影视,rtp://239.77.0.164:1234
四川文化,rtp://239.253.92.112:8000
四川公共,http://cctv1.live.cctv.cn/live798/index.m3u8
康巴卫视,rtp://239.77.0.105:9001
CCTV1 4K,http://live.gdtv.cn/hdtv32/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv4hd/index.m3u8
北京纪实4K,http://live.hunantv.com/live553/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/live587/index.m3u8
广东4K,http://cctv13.live.cctv.cn/live960/index.m3u8
咪咕体育4K,http://live.hunantv.com/hdtv40/index.m3u8
咪咕直播4K,http://live.hunantv.com/live861/index.m3u8
纯享4K,http://live.cctv.cn/hd14/index.m3u8
爱上4K,http://live.gdtv.cn/live181/index.m3u8
欢笑剧场4K,http://live.hunantv.com/live198/index.m3u8
CCTV5体育,http://live.gdtv.cn/live778/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
五星体育,rtp://239.20.0.35:1234
广东体育,rtp://239.253.92.90:8080
北京体育,rtp://239.20.0.240:8000
劲爆体育,rtp://239.253.92.11:1234
魅力足球,rtp://239.253.92.142:9901
CCTV6电影,http://live.hunantv.com/hdtv15/index.m3u8
上海电影,http://live.hunantv.com/hdtv2/index.m3u8
广东电影,http://live.cctv.cn/hdtv44/index.m3u8
峨眉电影,http://live.cctv.cn/live531/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/hd29/index.m3u8
CHC动作电影,rtp://239.20.0.110:9901
CHC家庭影院,rtp://239.20.0.5:9001
都市剧场,rtp://239.20.0.160:9001
CCTV少儿,http://cctv13.live.cctv.cn/hdtv57/index.m3u8
金鹰卡通,http://cctv13.live.cctv.cn/hdtv16/index.m3u8
嘉佳卡通,rtp://239.77.0.45:5140
优漫卡通,rtp://239.77.0.9:9000
炫动卡通,rtp://239.253.92.186:9901
卡酷少儿,rtp://239.253.92.135:9901
CCTV新闻,http://live.cctv.cn/hd8/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hd32/index.m3u8
中国教育1台,http://cctv1.live.cctv.cn/hdtv73/index.m3u8
中国教育2台,rtp://239.253.92.35:9000
凤凰中文,rtp://239.253.92.154:1234
凤凰资讯,http://live.hunantv.com/hdtv53/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live431/index.m3u8
梨园频道,rtp://239.20.0.176:9901
文物宝库,rtp://239.20.0.176:9000
国学频道,rtp://239.20.0.159:9901
秦腔频道,rtp://239.20.0.179:5140
陕西秦腔,rtp://239.77.0.169:9000
甘肃秦腔,http://live.cctv.cn/cctv2hd/index.m3u8
宁夏秦腔,http://live.cctv.cn/live716/index.m3u8
四川川剧,rtp://239.20.0.144:5140
成都川剧,rtp://239.253.92.122:8080
重庆川剧,rtp://239.20.0.207:5140
自贡川剧,rtp://239.20.0.184:1234
