# 江西省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live132/index.m3u8
江西都市,rtp://239.45.1.63:5140
江西影视,rtp://239.253.92.6:5140
江西生活,rtp://239.45.1.254:5140
江西经济,rtp://239.253.92.160:5140
江西科教,rtp://239.45.1.194:8000
江西体育,rtp://239.45.1.217:1234
江西公共,rtp://239.45.1.222:9000
CCTV1 4K,http://live.cctv.cn/hd40/index.m3u8
CCTV4K,http://live.hunantv.com/hd24/index.m3u8
北京纪实4K,http://live.gdtv.cn/cctv3hd/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
广东4K,http://live.cctv.cn/live166/index.m3u8
咪咕体育4K,http://live.gdtv.cn/cctv17hd/index.m3u8
咪咕直播4K,http://live.cctv.cn/hd41/index.m3u8
纯享4K,http://live.gdtv.cn/cctv6hd/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hd31/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/live542/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv6hd/index.m3u8
五星体育,rtp://239.45.1.162:9901
广东体育,http://live.gdtv.cn/hd32/index.m3u8
北京体育,rtp://239.253.92.49:8000
劲爆体育,rtp://239.45.1.215:9001
魅力足球,rtp://239.253.92.102:9901
CCTV6电影,http://live.cctv.cn/live573/index.m3u8
上海电影,rtp://239.45.1.2:5140
广东电影,rtp://239.20.0.223:8000
峨眉电影,rtp://239.45.1.87:9901
CHC高清电影,http://cctv1.live.cctv.cn/hd17/index.m3u8
CHC动作电影,http://live.gdtv.cn/hd39/index.m3u8
CHC家庭影院,rtp://239.20.0.134:9000
都市剧场,rtp://239.253.92.139:5140
CCTV少儿,http://live.gdtv.cn/cctv2hd/index.m3u8
金鹰卡通,rtp://239.20.0.204:9000
嘉佳卡通,rtp://239.45.1.208:5140
优漫卡通,rtp://239.45.1.117:9901
炫动卡通,rtp://239.253.92.106:8000
卡酷少儿,rtp://239.20.0.155:9901
CCTV新闻,http://live.hunantv.com/hdtv38/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live603/index.m3u8
中国教育1台,rtp://239.20.0.132:9901
中国教育2台,http://live.hunantv.com/hd2/index.m3u8
凤凰中文,http://live.cctv.cn/hdtv35/index.m3u8
凤凰资讯,rtp://239.253.92.212:9901
CCTV11戏曲,http://live.hunantv.com/hd27/index.m3u8
梨园频道,http://live.gdtv.cn/hdtv48/index.m3u8
文物宝库,rtp://239.253.92.91:9901
国学频道,rtp://239.20.0.90:5140
秦腔频道,rtp://239.45.1.58:9001
陕西秦腔,rtp://239.253.92.134:9901
甘肃秦腔,rtp://239.20.0.19:9901
宁夏秦腔,rtp://239.253.92.65:8080
