# 湖南省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd13/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
上海纪实4K,http://live.hunantv.com/hd45/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hdtv93/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hd43/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/live353/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/live630/index.m3u8
爱上4K,http://live.gdtv.cn/cctv9hd/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hdtv4/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live472/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live703/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live151/index.m3u8
五星体育,rtp://239.254.97.109:5140
广东体育,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
北京体育,rtp://239.112.207.141:8080
劲爆体育,http://live.cctv.cn/hdtv62/index.m3u8
魅力足球,rtp://239.112.207.129:8000
CCTV6电影,http://cctv1.live.cctv.cn/live739/index.m3u8
上海电影,rtp://239.112.206.188:1234
广东电影,rtp://239.112.206.54:8000
峨眉电影,http://cctv1.live.cctv.cn/hdtv6/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
CHC动作电影,rtp://239.254.97.225:1234
CHC家庭影院,rtp://239.112.206.39:9001
都市剧场,rtp://239.254.97.160:5140
CCTV少儿,http://live.gdtv.cn/cctv14hd/index.m3u8
金鹰卡通,rtp://239.254.97.197:9000
嘉佳卡通,rtp://239.112.207.37:9901
优漫卡通,rtp://239.254.97.80:9000
炫动卡通,rtp://239.254.97.243:9901
卡酷少儿,rtp://239.112.206.166:9000
CCTV新闻,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live981/index.m3u8
中国教育1台,rtp://239.112.207.183:9001
中国教育2台,rtp://239.112.207.151:1234
凤凰中文,rtp://239.112.206.109:8080
凤凰资讯,rtp://239.112.207.203:9001
CCTV11戏曲,http://live.hunantv.com/live963/index.m3u8
梨园频道,rtp://239.254.97.234:5140
文物宝库,rtp://239.254.97.160:9000
国学频道,rtp://239.112.206.190:5140
秦腔频道,rtp://239.112.207.57:9000
陕西秦腔,http://live.gdtv.cn/hd36/index.m3u8
甘肃秦腔,http://live.cctv.cn/hdtv17/index.m3u8
宁夏秦腔,rtp://239.254.97.90:8000
湖南湘剧,rtp://239.112.206.97:8000
长沙湘剧,rtp://239.112.207.15:8080
株洲湘剧,rtp://239.112.206.143:5140
湘潭湘剧,rtp://239.254.97.9:5140
中国广电4K,http://live.gdtv.cn/cctv2hd/index.m3u8
广电精品,rtp://239.112.207.200:9000
广电影视,http://live.hunantv.com/cctv15hd/index.m3u8
广电纪实,rtp://239.254.97.64:1234
广电体育,http://live.hunantv.com/hd14/index.m3u8
广电新闻,rtp://239.254.97.112:9000
广电综艺,rtp://239.254.97.209:5140
广电少儿,rtp://239.112.206.162:8080
广电音乐,http://cctv1.live.cctv.cn/hdtv15/index.m3u8
广电戏曲,rtp://239.112.206.57:9000
广电科教,rtp://239.112.207.141:8000
广电购物,http://live.cctv.cn/live789/index.m3u8
IPTV经典电影,rtp://239.112.206.197:9901
IPTV热播剧场,rtp://239.112.206.55:5140
IPTV魅力时尚,rtp://239.254.97.121:8000
IPTV收视指南,rtp://239.112.206.188:9000
