# 江苏省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live141/index.m3u8
江苏新闻,rtp://239.112.205.127:8000
江苏都市,rtp://225.1.1.82:5140
江苏影视,http://live.hunantv.com/hdtv56/index.m3u8
江苏生活,rtp://239.3.1.54:1234
江苏经济,rtp://225.1.1.249:8080
江苏科教,rtp://225.1.1.5:9901
江苏体育,http://cctv13.live.cctv.cn/hdtv28/index.m3u8
江苏公共,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
江苏卫视,rtp://239.112.205.145:9001
江苏城市,rtp://225.1.1.229:9000
江苏综艺,rtp://239.112.205.85:5140
江苏影视,http://live.gdtv.cn/hdtv33/index.m3u8
江苏体休,rtp://239.112.205.247:5140
江苏教育,rtp://239.3.1.199:5140
江苏国际,rtp://239.3.1.219:9901
CCTV1 4K,http://cctv1.live.cctv.cn/hd35/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hd11/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/hd5/index.m3u8
上海纪实4K,http://live.cctv.cn/cctv14hd/index.m3u8
广东4K,http://live.cctv.cn/cctv8hd/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hd40/index.m3u8
爱上4K,http://live.cctv.cn/live633/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/cctv4hd/index.m3u8
CCTV5体育,http://live.cctv.cn/hd2/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live152/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd29/index.m3u8
五星体育,rtp://239.112.205.199:9901
广东体育,rtp://239.112.205.44:5140
北京体育,rtp://239.112.205.75:1234
劲爆体育,rtp://239.112.205.107:5140
魅力足球,rtp://239.3.1.48:9000
CCTV6电影,http://live.hunantv.com/hdtv51/index.m3u8
上海电影,rtp://225.1.1.243:9000
广东电影,rtp://239.3.1.199:9901
峨眉电影,http://live.hunantv.com/hdtv5/index.m3u8
CHC高清电影,http://live.hunantv.com/hd24/index.m3u8
CHC动作电影,rtp://225.1.1.230:1234
CHC家庭影院,rtp://239.112.205.220:9000
都市剧场,rtp://239.112.205.230:9001
CCTV少儿,http://live.hunantv.com/hdtv25/index.m3u8
金鹰卡通,rtp://239.3.1.251:8080
嘉佳卡通,rtp://239.112.205.123:8000
优漫卡通,rtp://239.112.205.166:9901
炫动卡通,rtp://239.3.1.21:5140
卡酷少儿,http://live.gdtv.cn/cctv9hd/index.m3u8
CCTV新闻,http://cctv13.live.cctv.cn/live387/index.m3u8
CCTV13,http://live.hunantv.com/hdtv34/index.m3u8
中国教育1台,rtp://239.112.205.92:8000
中国教育2台,rtp://225.1.1.186:9901
凤凰中文,http://live.gdtv.cn/hdtv10/index.m3u8
凤凰资讯,rtp://239.3.1.133:5140
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
梨园频道,rtp://239.3.1.241:1234
文物宝库,rtp://239.3.1.108:1234
国学频道,rtp://225.1.1.213:9901
秦腔频道,rtp://239.3.1.248:1234
陕西秦腔,rtp://239.112.205.40:5140
甘肃秦腔,rtp://239.3.1.34:8000
宁夏秦腔,rtp://239.112.205.195:9901
江苏昆曲,rtp://225.1.1.59:1234
南京昆曲,rtp://225.1.1.21:5140
苏州昆曲,rtp://239.112.205.210:8080
扬州评话,rtp://239.112.205.254:9000
中国广电4K,http://live.cctv.cn/cctv3hd/index.m3u8
广电精品,rtp://225.1.1.143:8000
广电影视,rtp://239.3.1.176:9901
广电纪实,rtp://239.3.1.163:9901
广电体育,http://cctv13.live.cctv.cn/hd23/index.m3u8
广电新闻,rtp://239.3.1.196:8000
广电综艺,http://live.cctv.cn/cctv15hd/index.m3u8
广电少儿,rtp://239.3.1.74:8080
广电音乐,rtp://239.112.205.176:8080
广电戏曲,http://live.gdtv.cn/cctv6hd/index.m3u8
广电科教,rtp://239.112.205.253:9901
广电购物,rtp://239.112.205.206:9000
IPTV经典电影,rtp://239.3.1.144:1234
IPTV热播剧场,rtp://225.1.1.226:1234
IPTV魅力时尚,rtp://239.112.205.206:1234
IPTV收视指南,http://live.cctv.cn/hdtv60/index.m3u8
