# 甘肃省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 127
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd39/index.m3u8
CCTV1 4K,http://live.cctv.cn/hdtv29/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/live446/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv31/index.m3u8
上海纪实4K,http://live.cctv.cn/hdtv63/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hdtv21/index.m3u8
咪咕体育4K,http://live.cctv.cn/cctv6hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd43/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live698/index.m3u8
爱上4K,http://live.hunantv.com/live247/index.m3u8
欢笑剧场4K,http://live.cctv.cn/live900/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv21/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live988/index.m3u8
五星体育,rtp://239.112.207.234:9000
广东体育,http://live.gdtv.cn/hd24/index.m3u8
北京体育,rtp://225.1.1.235:9000
劲爆体育,rtp://239.45.9.41:8080
魅力足球,rtp://239.112.207.12:5140
CCTV6电影,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
上海电影,rtp://239.112.207.50:9000
广东电影,rtp://239.45.9.85:8000
峨眉电影,rtp://239.45.9.131:1234
CHC高清电影,http://live.hunantv.com/hd5/index.m3u8
CHC动作电影,rtp://239.45.9.194:8080
CHC家庭影院,rtp://239.45.9.77:9901
都市剧场,rtp://225.1.1.101:9000
CCTV少儿,http://live.hunantv.com/hdtv52/index.m3u8
金鹰卡通,rtp://225.1.1.218:8080
嘉佳卡通,rtp://225.1.1.187:5140
优漫卡通,http://live.gdtv.cn/hd42/index.m3u8
炫动卡通,rtp://225.1.1.92:8080
卡酷少儿,http://cctv1.live.cctv.cn/hd47/index.m3u8
CCTV新闻,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV13,http://live.hunantv.com/hd10/index.m3u8
中国教育1台,rtp://239.112.207.221:9000
中国教育2台,rtp://239.45.9.211:5140
凤凰中文,http://live.gdtv.cn/hd47/index.m3u8
凤凰资讯,rtp://225.1.1.36:8000
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv50/index.m3u8
梨园频道,rtp://239.112.207.3:8000
文物宝库,rtp://239.45.9.61:9001
国学频道,rtp://225.1.1.204:9000
秦腔频道,rtp://239.45.9.27:1234
陕西秦腔,rtp://239.45.9.154:5140
甘肃秦腔,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
宁夏秦腔,rtp://239.45.9.195:9001
甘肃秦腔,rtp://239.45.9.4:8080
兰州秦腔,rtp://239.45.9.74:8000
天水秦腔,rtp://239.112.207.92:8080
平凉秦腔,rtp://239.112.207.97:8000
庆阳秦腔,rtp://239.45.9.40:5140
陇南秦腔,rtp://225.1.1.68:1234
定西秦腔,rtp://239.112.207.233:1234
中国广电4K,http://cctv1.live.cctv.cn/hd28/index.m3u8
广电精品,rtp://239.112.207.140:5140
广电影视,rtp://239.112.207.32:5140
广电纪实,rtp://225.1.1.72:8080
广电体育,http://live.gdtv.cn/hdtv89/index.m3u8
广电新闻,rtp://239.112.207.18:8000
广电综艺,http://cctv1.live.cctv.cn/live441/index.m3u8
广电少儿,rtp://239.45.9.9:9000
广电音乐,rtp://239.45.9.22:9001
广电戏曲,http://cctv1.live.cctv.cn/live736/index.m3u8
广电科教,rtp://239.112.207.161:9000
广电购物,rtp://239.112.207.113:1234
IPTV经典电影,rtp://239.45.9.8:8080
IPTV热播剧场,rtp://225.1.1.129:8080
IPTV魅力时尚,rtp://239.45.9.183:9901
IPTV收视指南,rtp://239.45.9.234:8080
