# 重庆市 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv3hd/index.m3u8
中国教育2台,rtp://239.11.0.181:1234
凤凰中文,rtp://225.1.8.9:9901
凤凰资讯,rtp://239.11.0.18:8000
CCTV11戏曲,http://live.cctv.cn/hd21/index.m3u8
梨园频道,rtp://239.11.0.178:9000
文物宝库,rtp://225.1.8.247:9901
国学频道,rtp://225.1.8.196:1234
秦腔频道,http://live.cctv.cn/hdtv90/index.m3u8
陕西秦腔,rtp://239.253.43.227:8080
甘肃秦腔,rtp://239.253.43.41:9000
宁夏秦腔,rtp://225.1.8.46:1234
