# 山西省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 125
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hdtv8/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/live923/index.m3u8
纯享4K,http://live.gdtv.cn/hdtv47/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hd50/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live541/index.m3u8
CCTV5体育,http://live.cctv.cn/live908/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd20/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live832/index.m3u8
五星体育,rtp://239.112.206.125:1234
广东体育,rtp://225.1.8.125:9000
北京体育,rtp://239.45.1.95:8000
劲爆体育,http://cctv13.live.cctv.cn/live660/index.m3u8
魅力足球,rtp://239.45.1.77:9000
CCTV6电影,http://cctv13.live.cctv.cn/hdtv77/index.m3u8
上海电影,rtp://239.112.206.31:9901
广东电影,rtp://239.45.1.181:9000
峨眉电影,rtp://239.45.1.76:9001
CHC高清电影,http://cctv13.live.cctv.cn/live254/index.m3u8
CHC动作电影,rtp://239.50.1.38:8000
CHC家庭影院,rtp://225.1.8.241:5140
都市剧场,rtp://225.1.8.7:5140
CCTV少儿,http://cctv13.live.cctv.cn/hdtv80/index.m3u8
金鹰卡通,rtp://239.50.1.238:9001
嘉佳卡通,rtp://239.45.1.74:9901
优漫卡通,rtp://239.45.1.24:8000
炫动卡通,rtp://239.45.1.136:9901
卡酷少儿,rtp://239.45.1.208:8080
CCTV新闻,http://cctv1.live.cctv.cn/hdtv81/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv68/index.m3u8
中国教育1台,rtp://239.45.1.6:8000
中国教育2台,http://live.hunantv.com/cctv3hd/index.m3u8
凤凰中文,rtp://225.1.8.153:8000
凤凰资讯,http://cctv13.live.cctv.cn/live263/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/live588/index.m3u8
梨园频道,rtp://225.1.8.223:9001
文物宝库,rtp://239.50.1.28:8000
国学频道,rtp://239.50.1.219:1234
秦腔频道,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
陕西秦腔,rtp://239.45.1.52:8080
甘肃秦腔,http://cctv1.live.cctv.cn/live498/index.m3u8
宁夏秦腔,rtp://239.112.206.188:9001
山西晋剧,rtp://225.1.8.215:8080
太原晋剧,rtp://239.45.1.38:1234
临汾蒲剧,rtp://239.112.206.28:5140
运城蒲剧,rtp://239.50.1.214:9901
晋中秧歌,rtp://239.112.206.219:8080
中国广电4K,http://live.hunantv.com/cctv4hd/index.m3u8
广电精品,rtp://225.1.8.72:8000
广电影视,http://cctv1.live.cctv.cn/hdtv2/index.m3u8
广电纪实,rtp://239.112.206.222:8000
广电体育,rtp://225.1.8.53:8000
广电新闻,rtp://225.1.8.42:5140
广电综艺,rtp://225.1.8.197:8080
广电少儿,rtp://225.1.8.133:8080
广电音乐,rtp://239.112.206.198:9001
广电戏曲,rtp://225.1.8.176:8000
广电科教,http://cctv13.live.cctv.cn/hdtv38/index.m3u8
广电购物,rtp://225.1.8.65:1234
IPTV经典电影,http://live.cctv.cn/live206/index.m3u8
IPTV热播剧场,rtp://239.112.206.237:9901
IPTV魅力时尚,rtp://239.45.1.95:8080
IPTV收视指南,rtp://225.1.8.86:9901
