# 吉林省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv90/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv2hd/index.m3u8
五星体育,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
广东体育,rtp://239.253.92.250:9000
北京体育,rtp://239.253.92.77:8080
劲爆体育,http://live.cctv.cn/cctv6hd/index.m3u8
魅力足球,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hd11/index.m3u8
上海电影,rtp://239.22.0.46:9000
广东电影,rtp://239.253.92.70:1234
峨眉电影,rtp://239.45.9.219:8080
CHC高清电影,http://live.gdtv.cn/live830/index.m3u8
CHC动作电影,http://live.cctv.cn/hd21/index.m3u8
CHC家庭影院,rtp://239.45.9.144:8080
都市剧场,rtp://239.22.0.214:1234
CCTV少儿,http://live.hunantv.com/live394/index.m3u8
金鹰卡通,rtp://239.253.92.161:9001
嘉佳卡通,rtp://239.253.92.213:8000
优漫卡通,rtp://239.45.9.10:5140
炫动卡通,rtp://239.45.9.130:8080
卡酷少儿,rtp://239.22.0.5:9000
CCTV新闻,http://live.hunantv.com/live366/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live697/index.m3u8
中国教育1台,rtp://239.253.92.83:5140
中国教育2台,rtp://239.22.0.53:5140
凤凰中文,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
凤凰资讯,rtp://239.22.0.107:9000
CCTV11戏曲,http://cctv1.live.cctv.cn/live483/index.m3u8
梨园频道,http://live.gdtv.cn/hd25/index.m3u8
文物宝库,http://cctv13.live.cctv.cn/live939/index.m3u8
国学频道,rtp://239.45.9.233:9901
秦腔频道,rtp://239.253.92.194:9001
陕西秦腔,rtp://239.253.92.42:9000
甘肃秦腔,http://cctv1.live.cctv.cn/live185/index.m3u8
宁夏秦腔,rtp://239.22.0.224:9001
