# 福建省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 124
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd7/index.m3u8
CCTV1 4K,http://live.cctv.cn/hd36/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv74/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv82/index.m3u8
上海纪实4K,http://live.cctv.cn/hdtv49/index.m3u8
广东4K,http://live.gdtv.cn/cctv4hd/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hd25/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/live707/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hdtv29/index.m3u8
爱上4K,http://live.hunantv.com/live815/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live352/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv1hd/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd6/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv94/index.m3u8
五星体育,rtp://225.1.8.214:8080
广东体育,rtp://239.253.43.47:5140
北京体育,rtp://239.45.0.114:9901
劲爆体育,rtp://239.253.43.105:8080
魅力足球,rtp://225.1.8.12:8000
CCTV6电影,http://cctv13.live.cctv.cn/live457/index.m3u8
上海电影,rtp://239.253.43.236:1234
广东电影,rtp://225.1.8.232:8000
峨眉电影,http://live.cctv.cn/hd35/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CHC动作电影,rtp://239.253.43.185:8080
CHC家庭影院,rtp://239.45.0.181:9001
都市剧场,http://live.hunantv.com/hd6/index.m3u8
CCTV少儿,http://live.hunantv.com/hdtv77/index.m3u8
金鹰卡通,rtp://239.253.43.253:8000
嘉佳卡通,http://cctv1.live.cctv.cn/hdtv61/index.m3u8
优漫卡通,rtp://225.1.8.140:8000
炫动卡通,rtp://239.253.43.10:8080
卡酷少儿,rtp://239.45.0.37:8000
CCTV新闻,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hd39/index.m3u8
中国教育1台,rtp://225.1.8.116:8080
中国教育2台,rtp://239.45.0.160:9001
凤凰中文,rtp://239.45.0.214:5140
凤凰资讯,rtp://239.253.43.36:9001
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv93/index.m3u8
梨园频道,rtp://225.1.8.123:9000
文物宝库,rtp://239.253.43.134:9901
国学频道,http://live.cctv.cn/hdtv13/index.m3u8
秦腔频道,rtp://239.45.0.122:9001
陕西秦腔,rtp://225.1.8.123:5140
甘肃秦腔,http://cctv13.live.cctv.cn/hd6/index.m3u8
宁夏秦腔,rtp://225.1.8.45:9901
福建闽剧,http://live.hunantv.com/live291/index.m3u8
福州闽剧,rtp://225.1.8.62:9001
厦门闽剧,rtp://239.253.43.147:1234
泉州闽剧,http://cctv13.live.cctv.cn/live780/index.m3u8
中国广电4K,http://live.gdtv.cn/hd3/index.m3u8
广电精品,http://live.gdtv.cn/hd48/index.m3u8
广电影视,rtp://225.1.8.221:9901
广电纪实,rtp://239.45.0.201:8080
广电体育,rtp://225.1.8.211:8000
广电新闻,http://cctv13.live.cctv.cn/hdtv2/index.m3u8
广电综艺,rtp://239.253.43.172:8080
广电少儿,http://live.hunantv.com/hdtv73/index.m3u8
广电音乐,rtp://225.1.8.18:9000
广电戏曲,http://live.hunantv.com/cctv1hd/index.m3u8
广电科教,rtp://239.45.0.123:5140
广电购物,rtp://239.45.0.192:5140
IPTV经典电影,rtp://225.1.8.85:1234
IPTV热播剧场,rtp://225.1.8.147:9000
IPTV魅力时尚,rtp://225.1.8.120:5140
IPTV收视指南,rtp://239.253.43.10:5140
